corp_code,corp_name,stock_code,기초수량_합,취득수량_합,처분수량_합,소각수량_합,기말수량_합
00164645,HMM,011200,0,245404578,0,245404578,0
00126380,삼성전자,005930,89100000,354943485,18122640,150433884,275486961
00111722,미래에셋증권,006800,330614242,9692022,0,54692022,285614242
00382199,신한지주,055550,13756682,65107095,0,53851173,25012604
00860332,메리츠금융지주,138040,30201013,34234208,0,46495023,17940198
00688996,KB금융,105560,59783112,45038991,0,36198960,68623143
00138260,SIMPAC,009160,32810797,36821369,5040000,34270791,30321375
00858364,BNK금융지주,138930,6159624,24169458,0,30329082,0
00547583,하나금융지주,086790,17820000,32254389,0,26745198,23329191
00878915,iM금융지주,139130,8259002,17304750,0,25563750,2
01350869,우리금융지주,316140,107890,25545543,0,25545543,107890
00149655,삼성물산,028260,46846778,0,0,23422689,23425489
00244455,케이티앤지,033780,52499182,12257556,52359,22157556,42546823
00106641,기아,000270,11544391,21778902,6113572,21778902,5430819
00195229,미스토홀딩스,081660,5648946,19675943,6057480,21011997,0
00231363,LG유플러스,032640,20349024,12179424,0,20349018,12179430
00268002,세종텔레콤,036630,20108472,65404,0,20160490,13386
01358463,현대무벡스,319400,10752206,38916198,26198196,19782000,3688208
00609661,티쓰리,204610,20235759,17868501,0,18000000,20104260
00980122,JB금융지주,175330,14785920,15166014,3780483,15595791,10575660
01207716,앱코,129890,8060010,7233414,0,15293424,0
00250137,와이어블,065530,15063723,0,0,15063723,0
00413046,셀트리온,068270,31308227,15506915,41136,14912850,31861156
00151128,모토닉,009680,34117128,1757673,1774083,14850000,19250718
00164742,현대자동차,005380,13405683,8832147,3316881,13975275,4945674
01032486,두산밥캣,241560,4452045,9198129,44082,13179303,426789
00259545,엠에스오토텍,123040,28367437,1834,0,13087828,15281443
00137207,유니켐,011330,21400976,5196117,8700000,12607944,5289149
01601222,씨피시스템,413630,10130439,1410000,0,11540397,42
00117230,TYM,002900,6359674,9197652,0,10952868,4604458
00120182,NH투자증권,005940,2051013,10217982,0,10217982,2051013
00120021,LG,003550,18277139,0,0,9188396,9088743
00350048,오성첨단소재,052420,11011791,18389058,10230000,8940849,10230000
00261009,감성코퍼레이션,036620,0,9652011,0,8783361,868650
01038693,드림시큐리티,203650,9735480,13000512,14367996,8367996,0
00854997,에스디바이오센서,137310,11580493,2993784,0,8184753,6389524
