corp_code,corp_name,stock_code,기초수량_합,취득수량_합,처분수량_합,소각수량_합,기말수량_합
00113058,한화생명,088350,351419250,0,0,0,351419250
00111722,미래에셋증권,006800,330614242,9692022,0,54692022,285614242
00126380,삼성전자,005930,89100000,354943485,18122640,150433884,275486961
00131850,SK증권,001510,167967936,0,0,0,167967936
00117337,동양,001520,146575695,0,0,0,146575695
00219848,서희건설,035890,124407648,47527362,38615484,0,133319526
00112332,미래에셋생명,085620,107772378,0,0,0,107772378
00233653,한국토지신탁,034830,111126021,0,8885706,0,102240315
00126478,삼성중공업,010140,77893287,0,0,0,77893287
00136864,신원,009270,82602000,0,0,7602000,75000000
00131780,SK네트웍스,001740,73515337,1838,43002,0,73474173
00688996,KB금융,105560,59783112,45038991,0,36198960,68623143
00141477,영흥,012160,66280138,133572,0,0,66413710
00126256,삼성생명,032830,61275663,0,0,0,61275663
00120562,롯데지주,004990,68207874,0,10490922,0,57716952
00113191,코리안리,003690,54300000,0,0,0,54300000
00164779,SK하이닉스,000660,57143439,0,5009115,0,52134324
01042979,휴마시스,205470,48663507,0,0,0,48663507
00108913,대교,019680,52384455,4259733,10708548,0,45935640
00112651,대창,012800,44461119,0,0,0,44461119
00105606,금호에이치티,214330,21593896,22112881,0,0,43706777
00127857,삼익악기,002450,43500000,0,0,0,43500000
00181712,SK,034730,42965291,2,3312,0,42961981
00244455,케이티앤지,033780,52499182,12257556,52359,22157556,42546823
00255619,강원랜드,035250,40604448,590000,0,0,42374448
00152385,에이프로젠,007460,41517522,0,0,0,41517522
00148276,제일기획,030000,41286000,0,0,0,41286000
00111810,대웅,003090,40005385,0,1162840,0,38842545
00110893,대신증권,003540,38332314,0,1366845,0,36965469
00164973,현대해상,001450,32956500,0,0,0,32956500
00135777,신대양제지,016590,30741012,5604672,4100388,0,32245296
00252269,아이에이,038880,31992273,0,0,0,31992273
00413046,셀트리온,068270,31308227,15506915,41136,14912850,31861156
00122898,벽산,007210,33607162,0,0,2100000,31507162
00164636,HDC,012630,29132205,1587855,0,0,30720060
00606886,엔지켐생명과학,183490,0,30589500,0,0,30589500
00138260,SIMPAC,009160,32810797,36821369,5040000,34270791,30321375
00134477,SNT다이내믹스,003570,32575386,0,3708024,0,28867362
00963976,SG,255220,27753194,0,0,0,27753194
00126292,삼성카드,029780,26986392,0,0,0,26986392
00159102,DB손해보험,005830,32267933,0,600000,1416000,26219933
00148364,하림지주,003380,29488880,0,3809322,0,25679558
00382199,신한지주,055550,13756682,65107095,0,53851173,25012604
00122348,방림,003610,20759643,10319859,627645,6335796,24116061
00358271,SFA,056190,17061804,20039805,13072065,0,24029544
00148984,시알홀딩스,000480,24000000,0,0,0,24000000
00111227,대양제지공업,006580,23481111,0,0,0,23481111
00149655,삼성물산,028260,46846778,0,0,23422689,23425489
00152589,코리아나,027050,28650000,750000,6000000,0,23400000
00547583,하나금융지주,086790,17820000,32254389,0,26745198,23329191
