doc,member,page,owner,name,ticker,typ,date,notified,amt,kind,amt_col,flag,bad,conf
8221322,Ro Khanna (D-CA17),02,,AND GS |RUNO USHA INTERNATIONAL CLASS AHUJA P 2010 EQUITY IRREV TRUST INSIGHTS,,P/E,01/27/2026,02/03/2026,I/K,STOCK/FUND,IK,의심,amount-multi;type;owner,77.7
8221322,Ro Khanna (D-CA17),02,,DC_|KIMBERLY-CLARK CORPORATION CMN,,P,01/21/2026,02/03/2026,"$1,001-$15,000",STOCK/FUND,A,의심,owner,63.5
8221322,Ro Khanna (D-CA17),02,DC,KIMBERLY-CLARK CORPORATION CMN,,P,01/21/2026,02/03/2026,"$1,001-$15,000",STOCK/FUND,A,확인,,79.3
8221322,Ro Khanna (D-CA17),02,,DC_|CARRIER GLOBAL CORPORATION CMN,,P,01/20/2026,02/03/2026,"$1,001-$15,000",STOCK/FUND,A,의심,owner,79.4
8221322,Ro Khanna (D-CA17),02,DC,ROCKWELLAUTOMATIGN INC CMN,,P,01/02/2026,02/03/2026,"$1,001-$15,000",STOCK/FUND,A,확인,,71.5
8221322,Ro Khanna (D-CA17),02,DC,"STARBUCKS CORP, CMN",,P,01/02/2026,02/03/2026,"$1,001-$15,000",STOCK/FUND,A,확인,,75.7
8221322,Ro Khanna (D-CA17),02,,BERKSHIRE HATHAWAY INC. CLASS B,BRKb,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,의심,owner,93.4
8221322,Ro Khanna (D-CA17),02,DC,COLGATE-PALMOLIVE CO CMN,,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,확인,,73.9
8221322,Ro Khanna (D-CA17),02,DC,"AMERICAN INTL GROUP, INC. CMIN",,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,확인,,70.6
8221322,Ro Khanna (D-CA17),02,,TEXAS INSTRUMENTS INC. CMN,,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,의심,owner,72.6
8221322,Ro Khanna (D-CA17),02,,ABBOTT LABORATORIES CMN,,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,의심,owner,76.2
8221322,Ro Khanna (D-CA17),02,DC,TAON |CLASSA PUBLIC LIMITED - COMPANY CMN,,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,확인,,61.5
8221322,Ro Khanna (D-CA17),02,,WASTE MANAGEMENT INC CMN,,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,의심,owner,81.9
8221322,Ro Khanna (D-CA17),02,,PC_|SYSCO CORPORATION CMN,,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,의심,owner,75.2
8221322,Ro Khanna (D-CA17),02,,BANK OF AMERICA CORP CMN,,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,의심,owner,77.9
8221322,Ro Khanna (D-CA17),02,,UNION _|EQTY DN PACIFIC CASH BASE CORP. JSE UNPI INT,,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,의심,owner,85.5
8221322,Ro Khanna (D-CA17),02,,EXTRA SPACE STORAGE INC. CMN,,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,의심,owner,60.5
8221322,Ro Khanna (D-CA17),02,DC,ZOETIS INC. CMN CLASS A,,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,확인,,78.1
8221322,Ro Khanna (D-CA17),03,SP,"DEHTT USHA PROVIDE {ALL NAME, NOT TICKER SYMBOL",,P/E,MM/DD/YY,MMsOD/Yy 7,I/K,STOCK/FUND,IK,의심,amount-multi;type;date;notified,68.0
8221322,Ro Khanna (D-CA17),03,,MONTE GRANDCHILDREN DC AND |GENERAL AHUJA MILLS 2010 INCCMN IRREV TRUST FBO,,P/S/E,01/22/2026,02/03/2026,I/K,STOCK/FUND,IK,의심,amount-multi;type;owner,88.4
8221322,Ro Khanna (D-CA17),03,DC,SBA |CORPORATION COMMUNICATIONS CMN,,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,확인,,83.5
8221322,Ro Khanna (D-CA17),03,DC,WALT DISNEY COMPANY (THE} CMN,,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,확인,,60.3
8221322,Ro Khanna (D-CA17),03,DC,DEERE & COMPANY CMN,,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,확인,,85.4
8221322,Ro Khanna (D-CA17),03,DC,SALESFORCE INC CMN,CRM,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,확인,,78.5
8221322,Ro Khanna (D-CA17),03,DC,"METLIFE, INC. CMN",,S,01/22/2026,02/03/2026,"$15,001-$50,000",STOCK/FUND,B,확인,,64.7
8221322,Ro Khanna (D-CA17),03,DC,ADOBE INC CMN,,S,01/22/2026,02/03/2026,"$1,001-$15,000",STOCK/FUND,A,확인,,63.3
8221322,Ro Khanna (D-CA17),03,DC,LABCORP HOLDINGS INC CMN,,S,01/22/2026,02/03/2026,"$1,001-$15,000",STOCK/FUND,A,확인,,72.3
8221322,Ro Khanna (D-CA17),03,DC,FINTERNATIONAL PAPER CO. CMN,,S,01/22/2026,02/03/2026,"$1,001-$15,000",STOCK/FUND,A,의심,name-illegible,59.4
8221322,Ro Khanna (D-CA17),03,,OC |THERMO FISHER SCIENTIFIC INC CMN,,S,01/22/2026,02/03/2026,"$1,001-$15,000",STOCK/FUND,A,의심,owner,82.6
